"Date","Chicago; Precipitation","Chicago; Temperature (max)","Chicago; Temperature (min)","Dallas; Precipitation","Dallas; Temperature (max)","Dallas; Temperature (min)","Detroit; Precipitation","Detroit; Temperature (max)","Detroit; Temperature (min)","Los Angeles; Precipitation","Los Angeles; Temperature (max)","Los Angeles; Temperature (min)","New York; Precipitation","New York; Temperature (max)","New York; Temperature (min)","San Francisco; Precipitation","San Francisco; Temperature (max)","San Francisco; Temperature (min)","San Jose; Precipitation","San Jose; Temperature (max)","San Jose; Temperature (min)","Seattle; Precipitation","Seattle; Temperature (max)","Seattle; Temperature (min)"
"2010-03-20",6.6,19.4,0.0,22.4,16.7,0.0,0.0,6.1,0.0,0.0,23.9,11.7,0.0,23.3,12.2,0.0,17.2,10.0,0.0,23.3,7.2,0.0,19.4,2.8
"2010-03-21",10.2,2.2,-0.6,0.3,8.9,0.0,0.0,8.3,-0.6,0.0,20.6,11.1,0.0,17.8,10.6,0.0,17.2,9.4,0.0,19.4,8.9,0.3,13.3,7.2
"2010-03-22",0.0,5.0,1.7,0.0,19.4,2.2,2.0,6.1,2.8,0.0,17.8,10.6,34.0,13.9,10.0,0.0,17.8,10.0,0.0,19.4,10.0,0.0,12.8,5.6
"2010-03-23",0.0,7.8,-2.8,0.0,24.4,7.2,0.0,12.8,2.2,0.0,18.9,12.8,2.8,11.7,7.2,0.0,21.7,8.9,0.0,23.3,7.8,0.0,13.9,4.4
"2010-03-24",0.0,10.6,-0.6,23.4,23.3,12.8,0.0,15.6,-1.1,0.0,20.6,11.7,0.0,15.6,6.1,1.0,16.7,8.3,0.0,21.1,9.4,0.0,20.0,5.6
"2010-03-25",1.0,10.0,3.3,0.0,17.2,7.8,2.8,8.9,-2.8,0.0,16.7,12.2,0.0,16.7,8.9,1.0,15.6,9.4,0.0,17.8,8.3,15.7,11.7,7.2
"2010-03-26",0.0,6.7,-3.3,0.0,20.0,5.6,0.0,2.8,-5.0,0.0,20.0,11.1,3.6,11.1,1.1,0.0,16.7,8.3,0.0,17.8,7.8,0.0,12.2,5.6
"2010-03-27",0.0,2.8,-2.8,0.0,23.3,11.7,0.0,8.3,-5.0,0.0,27.8,10.6,0.0,6.7,-1.7,0.0,20.6,7.2,0.0,23.3,5.6,0.0,16.1,6.1
"2010-03-28",0.0,8.3,2.2,0.0,17.8,8.3,6.1,8.3,2.8,0.0,27.2,12.8,8.6,9.4,2.2,0.0,21.1,9.4,0.0,23.9,8.3,11.9,13.3,7.8
"2010-03-29",0.0,10.6,1.1,0.0,23.3,5.6,0.0,10.0,0.6,0.0,22.2,12.8,40.1,11.7,8.9,1.3,17.2,12.2,0.0,20.6,8.9,23.4,10.0,4.4
"2010-03-30",0.0,6.1,-2.8,0.0,27.8,11.1,0.0,12.8,-2.8,0.0,17.8,13.9,62.2,10.0,5.0,3.8,16.1,9.4,2.5,16.7,9.4,5.8,8.9,3.3
"2010-03-31",0.0,18.3,1.7,0.0,28.9,13.3,0.0,20.0,1.7,0.0,16.7,11.7,0.3,13.9,7.2,9.4,14.4,7.2,4.6,15.0,6.7,0.0,10.6,2.8
"2010-04-01",0.0,26.7,12.8,0.0,27.2,17.8,0.0,25.0,10.6,0.0,15.0,9.4,0.0,21.1,8.9,0.0,14.4,7.2,0.0,15.0,5.6,1.0,10.0,4.4
"2010-04-02",0.0,28.9,15.0,1.3,26.1,16.7,0.0,25.6,12.2,0.0,17.2,9.4,0.0,20.0,8.9,2.0,15.0,8.9,0.0,16.1,5.0,19.1,10.0,2.8
"2010-04-03",0.3,27.8,12.2,0.0,26.1,7.2,0.3,25.0,9.4,0.0,17.8,10.6,0.0,19.4,8.3,0.0,13.9,7.2,0.0,14.4,5.0,4.3,8.3,2.8
"2010-04-04",5.8,15.6,7.2,0.0,26.7,15.6,0.0,19.4,5.0,0.3,16.1,11.1,0.0,24.4,8.3,13.5,13.3,8.9,9.9,13.3,6.1,2.8,11.7,4.4
"2010-04-05",23.1,25.0,10.0,0.0,28.3,20.6,1.5,23.3,10.0,5.8,16.7,11.1,0.0,23.9,13.3,0.5,14.4,7.8,4.1,15.6,6.7,2.5,10.6,3.9
"2010-04-06",16.0,22.8,6.1,0.0,28.3,18.9,3.0,21.1,11.1,0.0,18.9,9.4,0.0,25.6,14.4,0.0,16.7,6.7,0.0,17.2,5.0,0.0,11.1,5.0
"2010-04-07",3.3,22.8,6.1,0.3,23.3,10.6,24.1,22.2,13.3,0.0,25.0,11.1,0.0,33.3,13.3,0.0,20.6,7.8,0.0,21.7,5.6,3.8,10.6,6.1
"2010-04-08",2.8,7.8,1.1,0.0,20.0,6.7,3.0,13.9,2.2,0.0,26.1,13.3,0.0,26.7,17.8,0.0,16.1,8.9,0.0,17.8,8.3,0.3,10.0,3.9
"2010-04-09",0.0,5.0,-2.2,0.0,24.4,7.2,0.0,7.8,1.7,0.0,21.7,12.8,7.6,20.0,6.7,0.0,20.6,7.2,0.0,21.7,6.7,0.0,10.6,3.3
"2010-04-10",0.3,13.3,1.7,0.0,24.4,11.7,0.0,20.0,-2.2,0.0,16.7,13.3,0.0,16.7,5.6,0.0,15.0,11.7,0.0,15.6,10.6,0.0,13.9,1.1
"2010-04-11",0.0,25.0,6.1,0.0,23.3,15.6,0.0,18.3,7.2,14.2,17.2,11.7,0.0,24.4,11.1,23.4,13.3,9.4,20.8,13.3,8.3,0.0,15.6,6.7
"2010-04-12",0.0,16.1,6.1,0.0,27.2,15.6,0.0,15.0,2.2,5.3,16.1,11.1,0.0,19.4,11.1,13.7,15.0,9.4,9.9,15.0,7.2,0.0,13.3,8.3
"2010-04-13",0.0,17.8,5.6,0.0,27.8,14.4,5.3,13.9,5.6,0.0,16.7,8.9,0.0,13.3,8.3,0.0,15.6,10.0,0.0,17.2,7.2,4.1,13.9,5.6
"2010-04-14",0.0,14.4,5.6,0.0,27.8,16.1,0.0,17.8,8.3,0.0,17.8,10.0,0.0,19.4,7.2,0.0,15.6,8.9,0.0,17.2,8.3,0.0,15.6,3.9
"2010-04-15",0.0,28.3,10.6,0.0,26.7,17.2,0.0,28.3,7.8,0.0,18.3,11.7,0.0,22.8,10.0,0.0,18.9,8.3,0.0,21.7,6.1,0.5,15.6,5.6
"2010-04-16",0.0,29.4,14.4,0.0,25.6,17.8,0.0,21.1,7.2,0.0,17.8,11.7,7.9,13.9,7.8,0.0,20.6,10.0,0.0,21.1,10.0,0.8,18.9,7.2
"2010-04-17",0.0,19.4,3.9,30.7,24.4,16.1,0.0,7.2,3.3,0.0,20.6,11.7,0.3,12.2,7.8,0.0,19.4,11.7,0.0,21.7,10.0,6.4,16.1,10.0
"2010-04-18",0.0,13.3,1.1,4.1,17.8,10.6,0.0,10.6,3.9,0.0,19.4,11.7,0.0,13.9,5.6,0.0,24.4,8.9,0.0,25.6,8.3,0.0,21.1,7.8
"2010-04-19",0.0,10.6,0.6,0.0,19.4,10.6,0.0,17.2,1.7,0.0,18.9,13.9,0.0,17.2,7.8,0.0,18.9,10.0,0.0,22.2,11.1,0.0,20.6,10.0
"2010-04-20",0.0,11.7,2.2,0.0,22.2,12.8,0.0,15.6,3.3,3.6,18.3,12.2,0.0,21.1,8.3,11.2,15.6,9.4,13.0,15.6,9.4,1.5,13.3,8.3
"2010-04-21",0.0,15.6,4.4,0.0,26.7,13.3,0.0,21.1,4.4,1.5,16.1,10.0,0.8,20.6,11.7,1.0,13.9,9.4,15.0,12.2,8.3,22.1,10.6,6.1
